genesis 2:16	wayzaw yhoh ’elohim, ‘al ha’adam leimor; mikol ‘eiz hagan ’akhol tokheil. 
genesis 2:17	umei‘eiz, hada‘at Tow wara‘, lo tokhal mimenu; ki, beyom ’akhalekha mimenu mot tamut. 
genesis 2:18	wayomer yhoh ’elohim, lo Tow heyot ha’adam lewado; ’e‘eseh lo ‘eicer kenegdo. 
genesis 2:19	wayizer yhoh ’elohim min ha’adamah, kal Hayat hasadeh we’eit kal ‘of hashamayim, wayawei ’el ha’adam, lir’ot mah yiqra lo; wekhol ’asher yiqra lo ha’adam nefesh Hayah hu shemo. 
genesis 2:20	wayiqra ha’adam sheimot, lekhal habeheimah ule‘of hashamayim, ulekhol Hayat hasadeh; ule’adam lo maza ‘eicer kenegdo. 
genesis 2:21	wayapeil yhoh ’elohim tardeimah ‘al ha’adam wayishan; wayiqaH, ’aHat mizal‘otaw, wayisgor basar taHtenah. 
genesis 2:22	wayiwen yhoh ’elohim ’et hazeila‘ ’asher laqaH min ha’adam le’ishah; waywi’eha ’el ha’adam. 
genesis 2:23	wayomer ha’adam cot hapa‘am, ‘ezem mei‘azamay, uwasar mibesari; lecot yiqarei ’ishah, ki mei’ish luqoHah cot. 
genesis 2:24	‘al kein ya‘acaw ’ish, ’et ’awiw we’et ’imo; wedawaq be’ishto, wehayu lewasar ’eHad. 
genesis 2:25	wayihyu sheneihem ‘arumim, ha’adam we’ishto; welo yitboshashu. 
genesis 3:1	wehanaHash hayah ‘arum, mikol Hayat hasadeh, ’asher ‘asah yhoh ’elohim; wayomer ’el ha’ishah, ’af ki ’amar ’elohim, lo tokhelu, mikol ‘eiz hagan. 
genesis 3:2	watomer ha’ishah ’el hanaHash; miperi ‘eiz hagan nokheil. 
genesis 3:3	umiperi ha‘eiz ’asher betokh hagan ’amar ’elohim, lo tokhelu mimenu, welo tige‘u bo; pen temutun. 
genesis 3:4	wayomer hanaHash ’el ha’ishah; lo mot temutun. 
genesis 3:5	ki yodeia‘ ’elohim, ki, beyom ’akhalekhem mimenu, wenifqeHu ‘eineikhem; wihyitem keilohim, yode‘ei Tow wara‘. 
genesis 3:6	wateire ha’ishah ki Tow ha‘eiz lema’akhal wekhi ta’awah hu la‘einayim, weneHmad ha‘eiz lehaskil, watiqaH mipiryo watokhal; watitein gam le’ishah ‘imah wayokhal. 
genesis 3:7	watipaqaHnah ‘einei sheneihem, wayeide‘u, ki ‘eirumim heim; wayitperu ‘aleih te’einah, waya‘asu lahem Hagorot. 
genesis 3:8	wayishme‘u ’et qol yhoh ’elohim mithaleikh bagan leruaH hayom; wayitHabei ha’adam we’ishto, mipenei yhoh ’elohim, betokh ‘eiz hagan. 
genesis 3:9	wayiqra yhoh ’elohim ’el ha’adam; wayomer lo ’ayekah. 
genesis 3:10	wayomer ’et qolekha shama‘ti bagan; wa’ira ki ‘eirom ’anokhi wa’eiHawei. 
genesis 3:11	wayomer mi higid lekha, ki ‘eirom ’atah; hamin ha‘eiz, ’asher ziwwitikha lewilti ’akhal mimenu ’akhaleta. 
genesis 3:12	wayomer ha’adam; ha’ishah ’asher natatah ‘imadi, hi natenah li min ha‘eiz wa’okheil. 
genesis 3:13	wayomer yhoh ’elohim la’ishah mah cot ‘asit; watomer ha’ishah, hanaHash hishi’ani wa’okheil. 
genesis 3:14	wayomer yhoh ’elohim ’el hanaHash ki ‘asita cot ’arur ’atah mikal habeheimah, umikol Hayat hasadeh; ‘al geHonekha teileikh, we‘afar tokhal kal yemei Hayekha. 
genesis 3:15	we’eiwah ’ashit, beinekha uwein ha’ishah, uwein car‘akha uwein car‘ah; hu yeshufekha rosh, we’atah teshufenu ‘aqeiw.
genesis 3:16	’el ha’ishah ’amar, harbah ’arbeh ‘izewoneikh weheironeikh, be‘ezew teiledi wanim; we’el ’isheikh teshuqateikh, wehu yimshal bakh.
genesis 3:17	ule’adam ’amar, ki shama‘ta leqol ’ishtekha watokhal min ha‘eiz, ’asher ziwwitikha leimor, lo tokhal mimenu; ’arurah ha’adamah ba‘awurekha, be‘izawon tokhalenah, kol yemei Hayekha. 
genesis 3:18	weqoz wedardar tazmiaH lakh; we’akhalta ’et ‘eisew hasadeh. 
genesis 3:19	becei‘at ’apekha tokhal leHem, ‘ad shuwekha ’el ha’adamah, ki mimenah luqaHeta; ki ‘afar ’atah, we’el ‘afar tashuw. 
genesis 3:20	wayiqra ha’adam sheim ’ishto Hawwah; ki hi hayetah ’eim kal Hay. 
genesis 3:21	waya‘as yhoh ’elohim le’adam ule’ishto katenot ‘or wayalbisheim.
genesis 3:22	wayomer yhoh ’elohim, hein ha’adam hayah ke’aHad mimenu, lada‘at Tow wara‘; we‘atah pen yishlaH yado, welaqaH gam mei‘eiz haHayim, we’akhal waHay le‘olam. 
genesis 3:23	wayshaleHeihu yhoh ’elohim migan ‘eiden; la‘awod ’et ha’adamah, ’asher luqaH misham. 
genesis 3:24	waygaresh ’et ha’adam; wayashkein miqedem legan ‘eiden ’et hakeruwim, we’eit lahaT haHerew hamithapekhet, lishmor ’et derekh ‘eiz haHayim.
genesis 4:1	weha’adam, yada‘ ’et Hawwah ’ishto; watahar wateiled ’et qayin, watomer qaniti ’ish ’et yhoh. 
genesis 4:2	watosef laledet, ’et ’aHiw ’et hawel; wayhi hewel ro‘eih zon, weqayin hayah ‘oweid ’adamah. 
genesis 4:3	wayhi miqeiz yamim; wayawei qayin miperi ha’adamah minHah yhoh. 
genesis 4:4	wehewel heiwi gam hu mibekhorot zono umeiHelweihen; wayisha‘ yhoh, ’el hewel we’el minHato. 
genesis 4:5	we’el qayin we’el minHato lo sha‘ah; wayiHar leqayin me’od, wayipelu panaw. 
genesis 4:6	wayomer yhoh ’el qayin; lamah Harah lakh, welamah nafelu fanekha. 
